日付,大項目,損失,利益,差引,メモ
2025/01/02,デイトレ,9,0,-9,
2025/01/03,デイトレ,0,746,746,
2025/01/03,株指数,685,0,-685,
2025/01/04,デイトレ,252,0,-252,
2025/01/06,スイング,0,869,869,
2025/01/06,スイング,0,332,332,
2025/01/06,デイトレ,308,0,-308,
2025/01/07,デイトレ,0,633,633,
2025/01/08,デイトレ,0,1400,1400,
2025/01/08,株指数,17186,0,-17186,
2025/01/09,デイトレ,320,0,-320,
2025/01/09,株指数,31547,0,-31547,
2025/01/10,デイトレ,0,236,236,
2025/01/11,デイトレ,1222,0,-1222,
2025/01/13,スイング,0,9362,9362,
2025/01/13,スイング,2431,1952,-479,
2025/01/13,スイング,0,275,275,
2025/01/13,デイトレ,2122,0,-2122,
2025/01/14,スイング,581,0,-581,
2025/01/14,デイトレ,398,0,-398,
2025/01/15,スイング,4728,0,-4728,
2025/01/15,スイング,605,0,-605,
2025/01/15,デイトレ,1822,0,-1822,
2025/01/16,スイング,663,684,21,
2025/01/16,スイング,0,2454,2454,
2025/01/16,デイトレ,0,1005,1005,
2025/01/17,スイング,791,0,-791,
2025/01/17,スイング,434,0,-434,
2025/01/17,デイトレ,525,0,-525,
2025/01/17,株指数,485,0,-485,
2025/01/18,スイング,302,0,-302,
2025/01/20,スイング,1321,0,-1321,
2025/01/20,スイング,1320,0,-1320,
2025/01/20,スイング,520,0,-520,
2025/01/20,スイング,1197,0,-1197,
2025/01/20,デイトレ,184,0,-184,
2025/01/22,スイング,1468,0,-1468,
2025/01/22,スイング,1346,0,-1346,
2025/01/22,デイトレ,0,1177,1177,
2025/01/22,株指数,0,2484,2484,
2025/01/23,スイング,1422,0,-1422,
2025/01/23,スイング,3924,0,-3924,
2025/01/23,デイトレ,146,0,-146,
2025/01/23,商品,0,3593,3593,
2025/01/23,株指数,0,2213,2213,
2025/01/23,株指数,3477,0,-3477,
2025/01/24,スイング,0,208,208,
2025/01/24,スイング,1342,444,-898,
2025/01/24,スイング,633,2198,1565,
2025/01/24,デイトレ,0,1034,1034,
2025/01/24,株指数,1775,0,-1775,
2025/01/24,株指数,440,0,-440,
2025/01/27,スイング,1078,0,-1078,
2025/01/27,スイング,929,0,-929,
2025/01/27,スイング,1185,0,-1185,
2025/01/27,スイング,738,0,-738,
2025/01/27,デイトレ,83,0,-83,
2025/01/27,商品,0,157,157,
2025/01/27,株指数,0,1444,1444,
2025/01/28,スイング,41,0,-41,
2025/01/28,スイング,817,303,-514,
2025/01/28,スイング,424,168,-256,
2025/01/28,スイング,1205,0,-1205,
2025/01/28,スイング,846,0,-846,
2025/01/28,スイング,1122,0,-1122,
2025/01/28,スイング,0,49,49,
2025/01/28,スイング,172,0,-172,
2025/01/28,スイング,698,0,-698,
2025/01/28,デイトレ,0,531,531,
2025/01/28,株指数,114,0,-114,
2025/01/28,株指数,437,0,-437,
2025/01/29,スイング,1807,0,-1807,
2025/01/29,スイング,53,0,-53,
2025/01/29,デイトレ,123,0,-123,
2025/01/30,スイング,0,1882,1882,
2025/01/30,スイング,0,34,34,
2025/01/30,スイング,38,0,-38,
2025/01/30,スイング,1550,1215,-335,
2025/01/30,スイング,103,0,-103,
2025/01/30,デイトレ,0,815,815,
2025/01/31,スイング,0,539,539,
2025/01/31,スイング,16,0,-16,
2025/01/31,スイング,1559,0,-1559,
2025/01/31,デイトレ,1025,0,-1025,
2025/01/31,商品,0,768,768,
2025/02/01,スイング,0,25,25,
2025/02/03,スイング,243,0,-243,
2025/02/03,スイング,0,102,102,
2025/02/03,スイング,0,1899,1899,
2025/02/03,デイトレ,0,381,381,
2025/02/03,株指数,2689,0,-2689,
2025/02/04,スイング,246,0,-246,
2025/02/04,スイング,506,0,-506,
2025/02/04,スイング,1973,0,-1973,
2025/02/04,スイング,1552,0,-1552,
2025/02/04,デイトレ,1848,0,-1848,
2025/02/04,商品,759,0,-759,
2025/02/05,スイング,1660,0,-1660,
2025/02/05,スイング,3669,0,-3669,
2025/02/05,デイトレ,3087,0,-3087,
2025/02/05,株指数,431,0,-431,
2025/02/06,株指数,374,0,-374,
2025/02/06,スイング,0,1519,1519,
2025/02/06,デイトレ,862,0,-862,
2025/02/07,スイング,151,0,-151,反発根拠なし
2025/02/07,デイトレ,1016,0,-1016,同値撤退直前
2025/02/07,株指数,3999,0,-3999,ロンドンブレイク 指標前
2025/02/10,デイトレ,0,9,9,レンジ抜けから伸びず
2025/02/10,スイング,0,289,289,
2025/02/11,スイング,184,0,-184,ロンドンスイング
2025/02/11,商品,378,0,-378,含み損
2025/02/11,株指数,1233,0,-1233,踏み上げ
2025/02/11,株指数,0,19624,19624,日足RSI踏み上げ
2025/02/11,デイトレ,517,0,-517,含み損
2025/02/12,スイング,15,0,-15,遅れたエントリー
2025/02/12,デイトレ,1124,0,-1124,指標直後
2025/02/12,商品,404,0,-404,含み損
2025/02/13,デイトレ,0,859,859,
2025/02/13,株指数,726,0,-726,スプレッド
2025/02/14,デイトレ,2210,0,-2210,ポチポチ病
2025/02/14,株指数,2398,0,-2398,ファンダメンタルズ読み違い
2025/02/17,スイング,0,809,809,1H1本目押し目ひと伸び利確
2025/02/17,デイトレ,0,700,700,1H1本目押し目ひと伸び利確
2025/02/17,株指数,1088,0,-1088,含み損
2025/02/18,株指数,7077,0,-7077,ロンドンスイング
2025/02/18,スイング,0,1414,1414,日足サポートライン
2025/02/18,デイトレ,60,0,-60,ポチポチ病
2025/02/18,商品,0,318,318,日足 サポート利確
2025/02/18,株指数,0,797,797,利確 レンジ
2025/02/19,デイトレ,0,361,361,トレンド転換
2025/02/19,商品,0,1438,1438,日足利確
2025/02/20,デイトレ,241,0,-241,日足、非行
2025/02/20,スイング,2244,0,-2244,ショートカバー非行
2025/02/20,スイング,0,1694,1694,日足 利確エントリー
2025/02/20,株指数,19678,0,-19678,含み損 指標
2025/02/21,株指数,614,0,-614,ロールオーバー
2025/02/25,株指数,0,1675,1675,ダブルトップ踏み上げ
2025/02/25,商品,0,874,874,トレンド転換、1本目利確
2025/02/25,商品,1606,0,-1606,トレンド転換狙い、ロールオーバーで損切ライン上がる
2025/02/25,株指数,0,925,925,ロールオーバー
2025/02/26,デイトレ,0,712,712,日足、前回高値前
2025/02/27,株指数,0,27301,27301,日足サポートライン、4HRSI30割れ
2025/02/28,スイング,8240,0,-8240,トレンド転換、ダマシ
2025/02/28,デイトレ,0,288,288,レンジ踏み上げ、ミドル上抜け
2025/02/28,株指数,1979,0,-1979,レンジ上限上抜け、レンジ内戻り
2025/03/03,株指数,0,6853,6853,日足、包み足利確
2025/03/04,株指数,7630,0,-7630,レンジ上抜けはさみ、レンジ内戻り
2025/03/04,商品,264,0,-264,日足、非行
2025/03/04,デイトレ,348,0,-348,レンジ上抜け、ダマシ
2025/03/04,株指数,0,2313,2313,
2025/03/04,デイトレ,0,649,649,レンジクリア、ピボット利確
2025/03/05,商品,877,0,-877,日足、非行
2025/03/06,スイング,0,5184,5184,週RSI転換、上昇後RSI70 突破利確
2025/03/07,デイトレ,376,0,-376,ヘッドアンドショルダーネックライン、タイムアウト
2025/03/11,デイトレ,0,657,657,日足、15分トレンド転換
2025/03/11,スイング,3931,0,-3931,ファンダ踏み上げ
2025/03/13,スイング,0,5419,5419,ヘッドアンドショルダーネックライン下の日足、上昇
2025/03/14,商品,0,3028,3028,日足、前回高値
2025/03/14,デイトレ,615,0,-615,日足、非行
2025/03/20,スイング,5216,0,-5216,週足押し目踏み上げ、指標前
2025/03/20,デイトレ,742,0,-742,日足、逆行
2025/03/20,デイトレ,531,0,-531,レンジ踏み上げ
2025/03/20,デイトレ,0,487,487,ニュース
2025/03/21,デイトレ,0,530,530,日足、前回高値前
2025/03/24,商品,103,0,-103,日足、逆行
2025/03/25,スイング,0,3224,3224,日足、トレンドライン上部
2025/03/27,デイトレ,760,322,-438,日足、全戻し
2025/03/27,スイング,0,423,423,日足、短期トレンドライン上抜け
2025/03/27,スイング,330,0,-330,日足、ニュース
2025/03/27,株指数,223,0,-223,難行
2025/03/28,スイング,464,0,-464,日足、非行
2025/03/31,株指数,845,105,-740,逆行
2025/03/31,商品,1040,268,-772,難行
2025/04/01,スイング,0,822,822,ファンダ、逆行
2025/04/01,デイトレ,0,128,128,日足、ライン前利確
2025/04/03,商品,436,0,-436,トレンド逆行、難行
2025/04/03,デイトレ,0,998,998,ファンダ逆行、ピボット
2025/04/03,株指数,0,332,332,エントリーポジション良好
2025/04/03,スイング,0,2229,2229,ファンダ逆行、バンドウォーク終了
2025/04/04,スイング,199,0,-199,エントリーキャンセル
2025/04/04,デイトレ,0,1605,1605,ニュース、キャンセル
2025/04/04,株指数,0,12665,12665,ファンダ、前回高値
2025/04/04,スイング,2030,3822,1792,ニュース、非行
2025/04/04,株指数,0,3925,3925,日足、前回高値
2025/04/04,株指数,0,1924,1924,ファンダ、ニュース全戻し
2025/04/07,株指数,1145,0,-1145,エントリー逆行
2025/04/07,株指数,0,4133,4133,日足、4H3本タッチで反発利確
2025/04/07,株指数,0,2112,2112,ファンダ、4Hトレンド終了
2025/04/07,株指数,22559,0,-22559,ファンダ、非行
2025/04/07,スイング,9991,0,-9991,ファンダ、非行
2025/04/07,デイトレ,577,0,-577,ファンダ、非行
2025/04/08,デイトレ,646,0,-646,日足、非行
2025/04/08,株指数,2457,0,-2457,エントリー逆行
2025/04/09,株指数,17293,0,-17293,日足、非行
2025/04/09,デイトレ,1750,0,-1750,上抜け失敗上昇、利確遅れ
2025/04/09,スイング,0,488,488,日足、キャンセル
2025/04/09,スイング,0,1814,1814,日足、前回高値更新
2025/04/09,デイトレ,0,638,638,日足、前回高値
2025/04/10,スイング,3205,0,-3205,日足、ニュース
2025/04/10,株指数,645,286,-359,キャンセル
2025/04/10,デイトレ,0,951,951,ファンダ、上昇利確
2025/04/10,スイング,0,1840,1840,ファンダ、上昇利確
2025/04/10,商品,640,572,-68,ファンダ、逆行
2025/04/10,デイトレ,994,0,-994,日足、逆行
2025/04/10,スイング,3784,0,-3784,日足、逆行
2025/04/10,スイング,0,2170,2170,CFD、CPI上振れ
2025/04/11,デイトレ,0,598,598,下落反発、デイリーピボット
2025/04/11,株指数,0,292,292,日足、逆行
2025/04/11,デイトレ,1505,0,-1505,日足、非行
2025/04/14,スイング,2676,40,-2636,日足、ニュース
2025/04/14,株指数,556,0,-556,ファンダ、ニュース
2025/04/14,デイトレ,0,1144,1144,日足、直近安値前
2025/04/14,商品,0,7448,7448,日足、トレンド乗り
2025/04/16,スイング,0,781,781,日足、前回高値更新
2025/04/16,デイトレ,0,328,328,日足、前回高値前
2025/04/17,デイトレ,453,0,-453,日足 上昇下落、逆行
2025/04/17,スイング,0,434,434,日足、キャンセル
2025/04/17,デイトレ,197,0,-197,日足、非行
2025/04/21,スイング,0,1665,1665,ファンダ、下落の一時停止
2025/04/21,スイング,335,0,-335,エントリーキャンセル
2025/04/22,デイトレ,246,246,0,レンジ内
2025/04/22,スイング,129,0,-129,エントリーキャンセル
2025/04/22,デイトレ,467,221,-246,日足、前回高値
2025/04/22,スイング,0,1919,1919,ファンダ、日足RSI
2025/04/23,株指数,2240,0,-2240,ファンダ、ニュース
2025/04/23,商品,1000,723,-277,トレンド逆行、ニュース
2025/04/23,デイトレ,318,0,-318,ファンダ、非行
2025/04/23,デイトレ,846,0,-846,日足、非行
2025/04/23,スイング,240,0,-240,日足、キャンセル
2025/04/23,スイング,1003,0,-1003,日足、非行
2025/04/24,デイトレ,763,0,-763,日足、非行
2025/04/25,スイング,1986,0,-1986,日足、非行
2025/04/25,スイング,631,0,-631,日足、非行
2025/04/25,商品,712,0,-712,ファンダ、逆行
2025/04/25,デイトレ,0,356,356,日足、前回高値
2025/04/25,スイング,0,723,723,日足、レジサポライン
2025/04/25,デイトレ,123,0,-123,日足、トレンドライン割れ
2025/04/29,スイング,3631,0,-3631,転換上抜け、利確
2025/04/29,デイトレ,0,322,322,レンジ内
2025/04/29,スイング,0,540,540,日足、キャンセル
2025/04/30,デイトレ,0,266,266,日足、トレンド順行
2025/05/01,スイング,1527,0,-1527,ポチポチ病
2025/05/01,デイトレ,0,781,781,上抜け、前回高値
2025/05/01,商品,1467,0,-1467,ファンダ、逆行
2025/05/02,デイトレ,417,0,-417,上抜け利確下落、非行
2025/05/02,デイトレ,0,295,295,ダマシートレンドライン下抜け、利確
2025/05/02,デイトレ,0,211,211,上抜け利確下落、微利確
2025/05/02,デイトレ,0,200,200,上抜け利確下落、微利確
2025/05/05,デイトレ,0,143,143,下ヒゲ上昇、利確
2025/05/06,デイトレ,0,137,137,ライン転換、利確
2025/05/06,デイトレ,0,130,130,上抜け利確下落、微利確
2025/05/06,デイトレ,60,0,-60,レンジダマシヒゲ
2025/05/06,デイトレ,232,0,-232,レンジダマシヒゲ逆反応、全戻し
2025/05/06,スイング,976,0,-976,日足、非行
2025/05/06,デイトレ,0,219,219,ダマシ下フライング、利確
2025/05/07,商品,0,872,872,日足、ニュース
2025/05/07,スイング,0,195,195,ダマシ下フライングイン、ニュース
2025/05/07,スイング,0,2559,2559,下落、ニュース
2025/05/07,デイトレ,1424,0,-1424,ポチポチ病
2025/05/07,デイトレ,102,0,-102,日足、期待値からの全戻し
2025/05/09,デイトレ,634,0,-634,レンジ内
2025/05/09,株指数,8624,0,-8624,日足、非行
2025/05/09,デイトレ,81,0,-81,日足、非行
2025/05/09,デイトレ,0,277,277,ヒゲMA、ピボット
2025/05/09,デイトレ,182,0,-182,日足、ダマシ
2025/05/12,株指数,6196,0,-6196,日足、ニュース
2025/05/12,デイトレ,505,0,-505,含み損
2025/05/12,商品,0,2117,2117,難行
2025/05/12,デイトレ,0,458,458,日足、前回高値
2025/05/13,スイング,0,1128,1128,ニュース、逆行
2025/05/13,デイトレ,365,0,-365,ポチポチ病
2025/05/13,商品,1885,0,-1885,日足、非行
2025/05/13,株指数,0,945,945,ファンダ、ニュース
2025/05/13,商品,2684,0,-2684,日足、非行
2025/05/13,デイトレ,0,476,476,日足、前回高値
2025/05/14,スイング,0,224,224,ニュース、逆行
2025/05/14,デイトレ,447,0,-447,日足、非行
2025/05/14,デイトレ,428,0,-428,レンジ上抜け、ダマシ
2025/05/15,株指数,8083,0,-8083,ロールオーバー
2025/05/15,デイトレ,0,401,401,上抜け、ピボット
2025/05/15,スイング,0,699,699,下落、ライン
2025/05/16,デイトレ,0,417,417,上抜け
2025/05/16,デイトレ,297,0,-297,上抜け
2025/05/19,デイトレ,540,0,-540,上抜け
2025/05/19,スイング,545,0,-545,逆行
2025/05/20,デイトレ,0,104,104,上抜け
2025/05/20,デイトレ,0,537,537,ヒゲ
2025/05/20,デイトレ,304,0,-304,上抜け
2025/05/20,デイトレ,101,0,-101,逆行
2025/05/21,スイング,1804,0,-1804,上抜け
2025/05/21,スイング,755,0,-755,上抜け
2025/05/21,スイング,755,0,-755,上抜け
2025/05/21,デイトレ,0,286,286,上抜け
2025/05/21,スイング,241,0,-241,ポチポチ病
2025/05/21,デイトレ,77,0,-77,逆行
2025/05/21,デイトレ,84,0,-84,上抜け
2025/05/21,デイトレ,137,0,-137,含み損
2025/05/21,デイトレ,159,0,-159,上抜け
2025/05/22,スイング,445,0,-445,上抜け
2025/05/22,スイング,183,0,-183,難行
2025/05/22,株指数,2521,0,-2521,難行
2025/05/22,デイトレ,0,188,188,逆行
2025/05/22,デイトレ,189,0,-189,ヒゲ
2025/05/22,デイトレ,126,0,-126,上抜け
2025/05/22,デイトレ,95,0,-95,逆行
2025/05/23,スイング,296,0,-296,逆行
2025/05/23,デイトレ,0,194,194,上抜け
2025/05/23,デイトレ,95,0,-95,難行
2025/05/23,スイング,1650,0,-1650,逆行
2025/05/23,株指数,1432,0,-1432,含み損
2025/05/23,スイング,1542,0,-1542,逆行
2025/05/23,デイトレ,376,0,-376,上抜け
2025/05/23,スイング,1570,0,-1570,同値
2025/05/23,デイトレ,122,0,-122,逆行
2025/05/26,スイング,1112,0,-1112,逆行
2025/05/26,スイング,0,706,706,難行
2025/05/26,株指数,342,0,-342,ニュース
